RAdeg,DEdeg,Umag,Bmag,Vmag,Imag,Jmag,Hmag,Ksmag,[3.6],[4.5],[5.8],[8.0],[24],SpClass,GeneralClass
83.0778,-67.5295,-5.477,-5.026,-5.824,,,,,-10.0541,-9.877699999999999,-10.072899999999999,-10.1418,-10.679099999999998,RSG,DSS
83.0805,-67.5223,,-3.5649999999999995,-5.901,,,,,-10.7098,-10.7058,-11.053,-11.579,-13.3188,RSG,DSS
83.1655,-69.5137,-0.10099999999999909,0.26099999999999923,-0.6039999999999992,-1.1159999999999997,-1.5199999999999996,-2.2300000000000004,-3.51,-6.3415,-7.1883,-8.2046,-9.591099999999999,-13.1802,YSO,DSS
83.2291,-67.6131,0.9610000000000021,-0.34299999999999997,-2.2390000000000008,-4.904,-6.619999999999999,-7.6,-8.049999999999999,-8.7072,-8.719,-8.987599999999999,-9.387599999999999,-10.2469,CAGB,DSS
83.2786,-70.5095,,0.8189999999999991,0.2240000000000002,,-0.6600000000000001,,-4.4399999999999995,-8.5636,-9.9459,-11.1031,-12.1411,-14.110399999999998,CAGB,DSS
83.3275,-66.0111,,,,,-4.459999999999999,-6.029999999999999,-7.5,-8.928099999999999,-9.515699999999999,-10.0361,-10.6343,-11.7127,CAGB,DSS
83.43,-70.9892,-1.721,-2.6639999999999997,-3.744999999999999,-6.477,-7.619999999999999,-8.53,,-9.1053,-8.9513,-9.1365,-9.1928,-9.9888,OAGB,DSS
83.4334,-70.9837,0.1999999999999993,-0.9589999999999996,-1.8599999999999994,-5.276999999999999,-7.02,-7.9,-8.19,-8.450999999999999,-8.371599999999999,-8.566699999999999,-8.664299999999999,-10.0084,OAGB,DSS
83.6727,-69.4419,,4.257999999999999,2.1960000000000015,-3.6630000000000003,-3.639999999999999,-5.74,-7.5,-9.5166,-10.2296,-10.739999999999998,-11.238,-11.7805,CAGB,DSS
83.8292,-67.0388,-1.6699999999999982,-3.286999999999999,-5.760999999999999,,,,,-10.544599999999999,-10.482199999999999,-10.7639,-11.1382,-13.5742,RSG,DSS
83.9503,-70.5296,1.379999999999999,0.5809999999999995,-1.245000000000001,-4.477,-6.5,-7.34,-7.73,-7.996599999999999,-7.911,-8.0459,-8.2778,-9.746599999999999,OAGB,DSS
84.01,-67.7548,1.522000000000002,1.1550000000000011,0.833000000000002,-0.26699999999999946,-1.6699999999999982,-2.969999999999999,-4.209999999999999,-5.7241,-6.4033999999999995,-7.1912,-8.252799999999999,-12.0506,YSO,DSS
84.1356,-70.2941,,,,,-0.759999999999998,-2.0199999999999996,-3.3499999999999996,-6.5913,-7.68,-9.3163,-11.1213,-15.556,PAGB,DSS
84.2316,-68.1902,2.1849999999999987,1.181000000000001,-0.8049999999999997,-4.584999999999999,-6.129999999999999,-7.0,-7.389999999999999,-7.7196,-7.553599999999999,-7.7989,-8.2214,-10.0985,OAGB,DSS
84.8748,-69.9656,,2.966000000000001,1.939,-1.2119999999999997,-3.119999999999999,-5.059999999999999,-6.719999999999999,-9.179,-9.7568,-10.257,-10.7361,-11.4935,CAGB,DSS
84.9267,-71.1791,,,,,-0.05000000000000071,-1.3599999999999994,-3.5700000000000003,-6.4422999999999995,-7.331799999999999,-8.358699999999999,-9.578199999999999,-12.5534,YSO,DSS
84.9394,-66.9694,1.3270000000000017,-0.907,-2.1389999999999993,-5.078999999999999,-6.49,-7.35,-7.609999999999999,-7.897,-7.9199,-8.1009,-8.6144,-10.4515,OAGB,DSS
85.0617,-69.4804,-1.8790000000000013,-1.4100000000000001,-1.7629999999999981,-2.4869999999999983,-3.1500000000000004,-3.92,-5.43,-8.4643,-9.7586,-10.809999999999999,-12.123899999999999,-15.7545,PAGB,DSS
85.1398,-70.5447,0.7119999999999997,1.2729999999999997,0.17900000000000205,-0.7139999999999986,-1.8000000000000007,-2.509999999999998,-3.299999999999999,-5.532299999999999,-6.356499999999999,-7.779299999999999,-9.5839,-13.7637,YSO,DSS
85.247,-70.7341,,,,,,-1.7100000000000009,-3.369999999999999,-6.536099999999999,-7.906599999999999,-8.9583,-10.166699999999999,-14.7014,YSO,DSS
85.2584,-70.7196,-2.227999999999998,1.7729999999999997,-0.14000000000000057,-5.420999999999999,-8.37,,,-10.2021,-10.408999999999999,-10.636099999999999,-11.3066,-13.5032,OAGB,DSS
85.3107,-71.5434,-0.8189999999999991,-1.1080000000000005,-2.129999999999999,-3.9399999999999995,-5.25,-6.139999999999999,-6.51,-7.3088,-7.743499999999999,-8.2578,-9.046999999999999,-10.965,OAGB,DSS
85.3363,-69.0789,,,,,,,-1.5500000000000007,-6.040699999999999,-8.357,-10.1355,-11.7986,-14.738,CAGB,DSS
85.3544,-71.2591,,,,,,-2.0500000000000007,,-6.223599999999999,-6.8881,-8.062299999999999,-9.3027,-15.1781,YSO,DSS
